model,method,method_key,round,total_labels,labeled_count,accuracy,f1_macro,fn_rate_malignant,unsafe_auto_accepts
densenet169,CLUE,baseline_clue,9,3839,4329,0.8740157480314961,0.7715849029212892,0.2750716332378223,388
densenet169,CLUE,baseline_clue,10,3998,4488,0.8782152230971129,0.8057618956503896,0.2750716332378223,349
densenet169,CLUE,baseline_clue,11,4156,4646,0.8761154855643044,0.7747891321568522,0.3094555873925501,299
densenet169,CLUE,baseline_clue,12,4310,4800,0.8818897637795275,0.796724150061056,0.2292263610315186,275
densenet169,CLUE,baseline_clue,13,4464,4954,0.8913385826771654,0.7859753476296536,0.2636103151862464,246
densenet169,CLUE,baseline_clue,14,4620,5110,0.8829396325459318,0.7889270548915278,0.318051575931232,210
densenet169,CLUE,baseline_clue,15,4773,5263,0.8771653543307086,0.7691981201886897,0.2349570200573066,190
densenet169,CoreSet,baseline_coreset,1,1289,1779,0.6257217847769029,0.4034862132696024,0.2521489971346705,1062
densenet169,CoreSet,baseline_coreset,2,1798,2288,0.8141732283464567,0.6673098534382625,0.2464183381088825,962
densenet169,CoreSet,baseline_coreset,3,2300,2790,0.8351706036745407,0.7323869781834876,0.3008595988538682,832
densenet169,CoreSet,baseline_coreset,4,2758,3248,0.8551181102362204,0.7420450868015528,0.2664756446991404,745
densenet169,CoreSet,baseline_coreset,5,3123,3613,0.8719160104986876,0.7892876625457416,0.2607449856733524,666
densenet169,CoreSet,baseline_coreset,6,3343,3833,0.868766404199475,0.7898618787243132,0.2550143266475644,614
densenet169,CoreSet,baseline_coreset,7,3511,4001,0.8692913385826772,0.7809359188451912,0.2779369627507163,572
densenet169,CoreSet,baseline_coreset,8,3684,4174,0.8818897637795275,0.7914308497710786,0.2120343839541547,524
densenet169,CoreSet,baseline_coreset,9,3839,4329,0.8860892388451443,0.7925952463163543,0.2464183381088825,471
densenet169,CoreSet,baseline_coreset,10,3998,4488,0.8850393700787401,0.7937584550935709,0.2636103151862464,422
densenet169,CoreSet,baseline_coreset,11,4156,4646,0.8881889763779528,0.7899444458852561,0.2206303724928366,405
densenet169,CoreSet,baseline_coreset,12,4310,4800,0.8944881889763779,0.8255691248360909,0.2206303724928366,377
densenet169,CoreSet,baseline_coreset,13,4464,4954,0.8913385826771654,0.8009003511427534,0.2636103151862464,326
densenet169,CoreSet,baseline_coreset,14,4620,5110,0.8918635170603675,0.8075628738072833,0.2435530085959885,288
densenet169,CoreSet,baseline_coreset,15,4773,5263,0.8965879265091864,0.8046287887221268,0.2091690544412607,277
densenet169,VAAL,baseline_vaal,1,1289,1779,0.6257217847769029,0.4034862132696024,0.2521489971346705,1220
densenet169,VAAL,baseline_vaal,2,1798,2288,0.726509186351706,0.5431743673396172,0.2292263610315186,1080
densenet169,VAAL,baseline_vaal,3,2300,2790,0.7921259842519685,0.5994078316985485,0.2979942693409742,978
densenet169,VAAL,baseline_vaal,4,2758,3248,0.8078740157480315,0.6380850923218685,0.3467048710601719,864
densenet169,VAAL,baseline_vaal,5,3123,3613,0.8356955380577428,0.6713986875912882,0.2922636103151863,804
densenet169,VAAL,baseline_vaal,6,3343,3833,0.84251968503937,0.6766863835357247,0.329512893982808,759
densenet169,VAAL,baseline_vaal,7,3511,4001,0.847769028871391,0.7400242737100996,0.2779369627507163,711
densenet169,VAAL,baseline_vaal,8,3684,4174,0.8451443569553806,0.696759735045065,0.3151862464183381,687
